"Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member Type"
"971983,3/31/2016 8:17,3/31/2016 8:33,31080,Lee Hwy & N Scott St,31246,M St & Pennsylvania Ave NW,W01168,Registered"
"647934,3/31/2016 8:15,3/31/2016 8:25,31121,Calvert St & Woodley Pl NW,31239,17th & Rhode Island Ave NW,W22147,Registered"
"836260,3/31/2016 8:14,3/31/2016 8:27,31249,Jefferson Memorial,31233,17th & K St NW / Farragut Square,W00742,Registered"
"1309437,3/31/2016 8:11,3/31/2016 8:33,31630,15th & East Capitol St NE,31222,New York Ave & 15th St NW,W00426,Registered"
"307999,3/31/2016 8:10,3/31/2016 8:15,31624,North Capitol St & F St NW,31271,Constitution Ave & 2nd St NW/DOL,W20172,Registered"
"1615725,3/31/2016 8:08,3/31/2016 8:35,31014,Lynn & 19th St North,31002,20th & Crystal Dr,W01339,Casual"
"194285,3/31/2016 8:05,3/31/2016 8:08,31119,14th & Belmont St NW,31268,12th & U St NW,W21047,Registered"
"1533306,3/31/2016 8:03,3/31/2016 8:28,31610,Eastern Market / 7th & North Carolina Ave SE,31242,18th St & Pennsylvania Ave NW,W22065,Registered"
"1117627,3/31/2016 7:59,3/31/2016 8:17,31306,39th & Calvert St NW / Stoddert,31239,17th & Rhode Island Ave NW,W00128,Registered"
"629656,3/31/2016 7:54,3/31/2016 8:05,31243,Maryland & Independence Ave SW,31615,6th & H St NE,W00664,Casual"
"627952,3/31/2016 7:51,3/31/2016 8:01,31612,D St & Maryland Ave NE,31634,3rd & Tingey St SE,W21578,Registered"
"291092,3/31/2016 7:50,3/31/2016 7:54,31278,18th & R St NW,31252,21st St & Pennsylvania Ave NW,W21594,Registered"
"3702236,3/31/2016 7:48,3/31/2016 8:50,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31264,6th St & Indiana Ave NW,W22227,Casual"
"886333,3/31/2016 7:47,3/31/2016 8:02,31607,14th & D St SE,31638,1st & H St NW,W21030,Registered"
"1580574,3/31/2016 7:42,3/31/2016 8:08,31007,Crystal City Metro / 18th & Bell St,31621,4th & D St NW / Judiciary Square,W20716,Registered"
"757475,3/31/2016 7:41,3/31/2016 7:54,31272,Washington & Independence Ave SW/HHS,31603,1st & M St NE,W21339,Registered"
"727570,3/31/2016 7:40,3/31/2016 7:52,31241,Thomas Circle,31272,Washington & Independence Ave SW/HHS,W20183,Registered"
"103240,3/31/2016 7:39,3/31/2016 7:41,31639,2nd & G St NE,31623,Columbus Circle / Union Station,W00672,Registered"
"666000,3/31/2016 7:38,3/31/2016 7:49,31114,18th St & Wyoming Ave NW,31254,15th & K St NW,W20209,Registered"
"543605,3/31/2016 7:36,3/31/2016 7:45,31201,15th & P St NW,31109,7th & T St NW,W20532,Registered"
"848899,3/31/2016 7:33,3/31/2016 7:47,31506,1st & Rhode Island Ave NW,31620,5th & F St NW,W21945,Registered"
"1016580,3/31/2016 7:33,3/31/2016 7:50,31231,14th & D St NW / Ronald Reagan Building,31616,3rd & H St NE,W22055,Registered"
"991641,3/31/2016 7:29,3/31/2016 7:45,31031,15th & N Scott St,31260,23rd & E St NW ,W20410,Registered"
"252892,3/31/2016 7:22,3/31/2016 7:26,31254,15th & K St NW,31277,17th & G St NW,W00353,Registered"
"316372,3/31/2016 7:21,3/31/2016 7:27,31217,USDA / 12th & Independence Ave SW,31244,4th & E St SW,W21220,Registered"
"1188554,3/31/2016 7:10,3/31/2016 7:30,31505,Eckington Pl & Q St NE,31279,19th & G St NW,W01112,Registered"
"1808289,3/31/2016 7:09,3/31/2016 7:39,31403,5th & Kennedy St NW,31603,1st & M St NE,W21559,Registered"
"644966,3/31/2016 6:43,3/31/2016 6:54,31218,L'Enfant Plaza / 7th & C St SW,31637,North Capitol St & G Pl NE,W21860,Registered"
"785013,3/31/2016 6:36,3/31/2016 6:49,31629,8th & East Capitol St NE,31247,Jefferson Dr & 14th St SW,W00586,Registered"
"149585,3/31/2016 6:34,3/31/2016 6:36,31605,3rd & D St SE,31610,Eastern Market / 7th & North Carolina Ave SE,W20918,Registered"
"977933,3/31/2016 6:33,3/31/2016 6:49,31270,8th & D St NW,31619,Lincoln Park / 13th & East Capitol St NE ,W21362,Registered"
"649015,3/31/2016 6:32,3/31/2016 6:43,31113,Columbia Rd & Belmont St NW,31252,21st St & Pennsylvania Ave NW,W00770,Registered"
"1778557,3/31/2016 6:29,3/31/2016 6:58,31305,Connecticut Ave & Newark St NW / Cleveland Park,31232,7th & F St NW / National Portrait Gallery,W20506,Registered"
"896443,3/31/2016 6:18,3/31/2016 6:33,31623,Columbus Circle / Union Station,31635,Potomac Ave & 8th St SE,W21695,Registered"
"850370,3/31/2016 5:57,3/31/2016 6:11,31400,Georgia & New Hampshire Ave NW,31202,14th & R St NW,W21508,Registered"
"452592,3/31/2016 5:55,3/31/2016 6:03,31600,5th & K St NW,31623,Columbus Circle / Union Station,W22218,Registered"
"528058,3/31/2016 5:44,3/31/2016 5:53,31281,8th & O St NW,31200,Massachusetts Ave & Dupont Circle NW,W20594,Registered"
"504818,3/31/2016 1:40,3/31/2016 1:48,31212,21st & M St NW,31251,12th & L St NW,W00253,Registered"
"1003719,3/31/2016 0:20,3/31/2016 0:36,31215,Georgetown Harbor / 30th St NW,31263,10th & K St NW,W22049,Registered"
"548466,3/30/2016 23:25,3/30/2016 23:34,31274,MLK Library/9th & G St NW,31624,North Capitol St & F St NW,W00731,Casual"
"61285,3/30/2016 23:06,3/30/2016 23:07,31254,15th & K St NW,31254,15th & K St NW,W22230,Registered"
"478835,3/30/2016 23:05,3/30/2016 23:13,31251,12th & L St NW,31268,12th & U St NW,W20794,Casual"
"553547,3/30/2016 22:58,3/30/2016 23:07,31111,10th & U St NW,31282,16th & R St NW,W21834,Registered"
"356192,3/30/2016 22:53,3/30/2016 22:59,31116,California St & Florida Ave NW,31280,11th & S St NW,W21413,Registered"
"483098,3/30/2016 22:09,3/30/2016 22:17,31282,16th & R St NW,31122,16th & Irving St NW,W20829,Registered"
"245091,3/30/2016 22:06,3/30/2016 22:10,31229,New Hampshire Ave & T St NW,31280,11th & S St NW,W01308,Registered"
"621628,3/30/2016 21:57,3/30/2016 22:07,31246,M St & Pennsylvania Ave NW,31278,18th & R St NW,W21920,Registered"
"904710,3/30/2016 21:55,3/30/2016 22:10,31268,12th & U St NW,31312,Wisconsin Ave & O St NW,W20867,Registered"
"304283,3/30/2016 21:51,3/30/2016 21:56,31047,Braddock Rd Metro,31097,Saint Asaph & Madison St,W01499,Registered"
"132907,3/30/2016 21:36,3/30/2016 21:38,31117,15th & Euclid St  NW,31103,16th & Harvard St NW,W21948,Registered"
"1027268,3/30/2016 21:36,3/30/2016 21:54,31246,M St & Pennsylvania Ave NW,31106,Calvert & Biltmore St NW,W01318,Registered"
"402226,3/30/2016 21:35,3/30/2016 21:42,31121,Calvert St & Woodley Pl NW,31114,18th St & Wyoming Ave NW,W21154,Registered"
"198246,3/30/2016 21:24,3/30/2016 21:28,31017,Wilson Blvd & N Uhle St,31029,N Veitch  & 20th St N,W01044,Registered"
"361841,3/30/2016 21:13,3/30/2016 21:19,31312,Wisconsin Ave & O St NW,31200,Massachusetts Ave & Dupont Circle NW,W21328,Registered"
"383992,3/30/2016 20:56,3/30/2016 21:02,31241,Thomas Circle,31238,14th & G St NW,W21848,Registered"
"437200,3/30/2016 20:47,3/30/2016 20:54,31207,Georgia Ave and Fairmont St NW,31103,16th & Harvard St NW,W20527,Registered"
"814374,3/30/2016 20:46,3/30/2016 20:59,31305,Connecticut Ave & Newark St NW / Cleveland Park,31105,14th & Harvard St NW,W21498,Registered"
"490069,3/30/2016 20:41,3/30/2016 20:49,31104,Adams Mill & Columbia Rd NW,31221,18th & M St NW,W01036,Registered"
"485759,3/30/2016 20:33,3/30/2016 20:41,31109,7th & T St NW,31203,14th & Rhode Island Ave NW,W21613,Registered"
"502885,3/30/2016 20:29,3/30/2016 20:37,31403,5th & Kennedy St NW,31400,Georgia & New Hampshire Ave NW,W00089,Registered"
"596218,3/30/2016 20:26,3/30/2016 20:36,31100,19th St & Pennsylvania Ave NW,31600,5th & K St NW,W20307,Registered"
"272987,3/30/2016 20:23,3/30/2016 20:28,31007,Crystal City Metro / 18th & Bell St,31009,27th & Crystal Dr,W20140,Registered"
"1188526,3/30/2016 20:21,3/30/2016 20:40,31258,Lincoln Memorial,31217,USDA / 12th & Independence Ave SW,W00065,Casual"
"1037019,3/30/2016 20:17,3/30/2016 20:35,31274,MLK Library/9th & G St NW,31602,Park Rd & Holmead Pl NW,W20637,Registered"
"3250618,3/30/2016 20:15,3/30/2016 21:09,31012,26th & S Clark St,31011,23rd & Crystal Dr,W00060,Registered"
"172376,3/30/2016 20:03,3/30/2016 20:06,31628,1st & K St SE,31625,3rd & G St SE,W00886,Registered"
"413364,3/30/2016 19:57,3/30/2016 20:04,31517,Union Market/6th St & Neal Pl NE,31636,New Jersey Ave & N St NW/Dunbar HS,W00595,Registered"
"465476,3/30/2016 19:56,3/30/2016 20:04,31219,10th St & Constitution Ave NW,31244,4th & E St SW,W20071,Registered"
"453580,3/30/2016 19:50,3/30/2016 19:58,31203,14th & Rhode Island Ave NW,31238,14th & G St NW,W00057,Registered"
"334604,3/30/2016 19:43,3/30/2016 19:49,31222,New York Ave & 15th St NW,31257,22nd & I St NW / Foggy Bottom,W20867,Registered"
"719125,3/30/2016 19:31,3/30/2016 19:43,31228,8th & H St NW,31616,3rd & H St NE,W21773,Registered"
"867622,3/30/2016 19:30,3/30/2016 19:45,31102,11th & Kenyon St NW,31266,11th & M St NW,W00677,Casual"
"1448780,3/30/2016 19:25,3/30/2016 19:49,31215,Georgetown Harbor / 30th St NW,31603,1st & M St NE,W20567,Registered"
"496255,3/30/2016 19:22,3/30/2016 19:30,31301,Ward Circle / American University,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,W20788,Registered"
"232170,3/30/2016 19:20,3/30/2016 19:24,31263,10th & K St NW,31274,MLK Library/9th & G St NW,W21434,Registered"
"3251447,3/30/2016 19:06,3/30/2016 20:00,31249,Jefferson Memorial,31277,17th & G St NW,W00264,Registered"
"938835,3/30/2016 19:04,3/30/2016 19:19,31605,3rd & D St SE,31281,8th & O St NW,W00664,Registered"
"605408,3/30/2016 19:04,3/30/2016 19:15,32014,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,31310,Connecticut & Nebraska Ave NW,W21365,Registered"
"1125540,3/30/2016 19:02,3/30/2016 19:21,31246,M St & Pennsylvania Ave NW,31271,Constitution Ave & 2nd St NW/DOL,W20296,Registered"
"414214,3/30/2016 19:01,3/30/2016 19:08,31623,Columbus Circle / Union Station,31611,13th & H St NE,W00054,Registered"
"844527,3/30/2016 18:58,3/30/2016 19:13,31600,5th & K St NW,31512,Neal St & Trinidad Ave NE,W21730,Registered"
"284929,3/30/2016 18:57,3/30/2016 19:02,31202,14th & R St NW,31241,Thomas Circle,W20709,Registered"
"806641,3/30/2016 18:55,3/30/2016 19:08,31104,Adams Mill & Columbia Rd NW,31224,19th & L St NW,W20289,Registered"
"150855,3/30/2016 18:55,3/30/2016 18:58,31801,Anacostia Metro,31807,Pleasant St & MLK Ave SE,W00968,Registered"
"184980,3/30/2016 18:44,3/30/2016 18:47,31104,Adams Mill & Columbia Rd NW,31121,Calvert St & Woodley Pl NW,W20479,Registered"
"683679,3/30/2016 18:42,3/30/2016 18:53,31623,Columbus Circle / Union Station,31617,Bladensburg Rd & Benning Rd NE,W00658,Registered"
"5123418,3/30/2016 18:39,3/30/2016 20:05,31211,Kennedy Center,31201,15th & P St NW,W21882,Casual"
"3320819,3/30/2016 18:35,3/30/2016 19:31,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31077,Iwo Jima Memorial/N Meade & 14th St N,W21445,Casual"
"1367768,3/30/2016 18:31,3/30/2016 18:54,31204,20th & E St NW,31272,Washington & Independence Ave SW/HHS,W20205,Registered"
"1078886,3/30/2016 18:31,3/30/2016 18:49,31600,5th & K St NW,31275,New Hampshire Ave & 24th St NW,W20615,Registered"
"236656,3/30/2016 18:30,3/30/2016 18:34,31104,Adams Mill & Columbia Rd NW,31103,16th & Harvard St NW,W21388,Registered"
"326977,3/30/2016 18:28,3/30/2016 18:33,31213,17th & K St NW,31266,11th & M St NW,W01177,Registered"
"995806,3/30/2016 18:25,3/30/2016 18:41,31248,Smithsonian / Jefferson Dr & 12th St SW,31624,North Capitol St & F St NW,W21860,Casual"
"786272,3/30/2016 18:25,3/30/2016 18:38,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31249,Jefferson Memorial,W21153,Registered"
"1223544,3/30/2016 18:24,3/30/2016 18:44,31049,Utah St & 11th St N ,31049,Utah St & 11th St N ,W21544,Registered"
"404307,3/30/2016 18:22,3/30/2016 18:29,31408,Takoma Metro,32011,Maple & Ritchie Ave,W21100,Registered"
"748716,3/30/2016 18:22,3/30/2016 18:35,31205,21st & I St NW,31600,5th & K St NW,W00435,Registered"
"1616648,3/30/2016 18:22,3/30/2016 18:49,31122,16th & Irving St NW,31119,14th & Belmont St NW,W20859,Casual"
"386152,3/30/2016 18:20,3/30/2016 18:27,31034,N Randolph St & Fairfax Dr,31092,Lee Hwy & N Nelson St,W00905,Registered"
"457507,3/30/2016 18:19,3/30/2016 18:27,31611,13th & H St NE,31616,3rd & H St NE,W00105,Registered"
"331303,3/30/2016 18:18,3/30/2016 18:23,31110,20th St & Florida Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W20279,Registered"
"1382692,3/30/2016 18:16,3/30/2016 18:39,31200,Massachusetts Ave & Dupont Circle NW,31302,Wisconsin Ave & Newark St NW,W00430,Registered"
"537332,3/30/2016 18:15,3/30/2016 18:24,31233,17th & K St NW / Farragut Square,31202,14th & R St NW,W20212,Registered"
"2679952,3/30/2016 18:10,3/30/2016 18:54,31256,10th & E St NW,31704,Nannie Helen Burroughs & Minnesota Ave NE,W00979,Registered"
"558076,3/30/2016 18:10,3/30/2016 18:19,31247,Jefferson Dr & 14th St SW,31270,8th & D St NW,W21220,Registered"
"526836,3/30/2016 18:09,3/30/2016 18:18,31239,17th & Rhode Island Ave NW,31101,14th & V St NW,W20627,Registered"
"315106,3/30/2016 18:09,3/30/2016 18:14,31010,S Glebe & Potomac Ave,31002,20th & Crystal Dr,W22077,Registered"
"976896,3/30/2016 18:08,3/30/2016 18:24,31604,3rd & H St NW,31109,7th & T St NW,W21030,Registered"
"283149,3/30/2016 18:08,3/30/2016 18:13,31205,21st & I St NW,31237,25th St & Pennsylvania Ave NW,W20888,Registered"
"617103,3/30/2016 18:08,3/30/2016 18:19,31012,26th & S Clark St,31071,Long Bridge Park/Long Bridge Dr & 6th St S,W21530,Registered"
"868313,3/30/2016 18:05,3/30/2016 18:20,31030,Lee Hwy & N Adams St,31236,37th & O St NW / Georgetown University,W20069,Registered"
"154570,3/30/2016 18:00,3/30/2016 18:02,31027,Key Blvd & N Quinn St,31014,Lynn & 19th St North,W21950,Registered"
"931532,3/30/2016 17:58,3/30/2016 18:14,31242,18th St & Pennsylvania Ave NW,31312,Wisconsin Ave & O St NW,W21630,Registered"
"426354,3/30/2016 17:57,3/30/2016 18:05,31117,15th & Euclid St  NW,31104,Adams Mill & Columbia Rd NW,W21398,Registered"
"1394806,3/30/2016 17:56,3/30/2016 18:19,31065,N Pershing Dr & Wayne St,31094,Lee Hwy & N Kirkwood Rd,W20235,Registered"
"1592335,3/30/2016 17:55,3/30/2016 18:22,31242,18th St & Pennsylvania Ave NW,31243,Maryland & Independence Ave SW,W00513,Casual"
"1667575,3/30/2016 17:49,3/30/2016 18:16,31253,19th & K St NW,31228,8th & H St NW,W01413,Registered"
"595885,3/30/2016 17:45,3/30/2016 17:55,31067,Columbia Pike & S Walter Reed Dr,31005,Pentagon City Metro / 12th & S Hayes St,W21717,Registered"
"1356104,3/30/2016 17:45,3/30/2016 18:08,31215,Georgetown Harbor / 30th St NW,31104,Adams Mill & Columbia Rd NW,W21301,Registered"
"1410202,3/30/2016 17:44,3/30/2016 18:08,31257,22nd & I St NW / Foggy Bottom,31513,Rhode Island Ave & V St NE,W20290,Registered"
"469045,3/30/2016 17:44,3/30/2016 17:52,31121,Calvert St & Woodley Pl NW,31117,15th & Euclid St  NW,W22024,Registered"
"321508,3/30/2016 17:43,3/30/2016 17:48,31229,New Hampshire Ave & T St NW,31101,14th & V St NW,W20742,Registered"
"300302,3/30/2016 17:43,3/30/2016 17:48,31612,D St & Maryland Ave NE,31617,Bladensburg Rd & Benning Rd NE,W00665,Registered"
"442685,3/30/2016 17:34,3/30/2016 17:42,31222,New York Ave & 15th St NW,31212,21st & M St NW,w00765,Registered"
"1485591,3/30/2016 17:31,3/30/2016 17:55,31006,S Joyce & Army Navy Dr,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,W22140,Registered"
"510904,3/30/2016 17:31,3/30/2016 17:40,31101,14th & V St NW,31109,7th & T St NW,W00021,Registered"
"1820092,3/30/2016 17:29,3/30/2016 17:59,31089,Court House Metro / 15th & N Uhle St ,31203,14th & Rhode Island Ave NW,W20590,Registered"
"3188204,3/30/2016 17:28,3/30/2016 18:21,31249,Jefferson Memorial,31249,Jefferson Memorial,W20340,Casual"
"308431,3/30/2016 17:27,3/30/2016 17:32,31020,Wilson Blvd & Franklin Rd,31051,Arlington Blvd & N Queen St,W01187,Registered"
"537363,3/30/2016 17:26,3/30/2016 17:35,31261,21st St & Constitution Ave NW,31231,14th & D St NW / Ronald Reagan Building,W20476,Registered"
"238070,3/30/2016 17:24,3/30/2016 17:28,31221,18th & M St NW,31276,15th & L St NW,W21495,Registered"
"486822,3/30/2016 17:24,3/30/2016 17:32,31232,7th & F St NW / National Portrait Gallery,31238,14th & G St NW,W01303,Casual"
"660641,3/30/2016 17:23,3/30/2016 17:34,31121,Calvert St & Woodley Pl NW,31214,17th & Corcoran St NW,W21573,Registered"
"527944,3/30/2016 17:22,3/30/2016 17:31,31217,USDA / 12th & Independence Ave SW,31265,5th St & Massachusetts Ave NW,W20289,Registered"
"912954,3/30/2016 17:19,3/30/2016 17:34,31276,15th & L St NW,31615,6th & H St NE,W00032,Registered"
"219363,3/30/2016 17:13,3/30/2016 17:16,31100,19th St & Pennsylvania Ave NW,31213,17th & K St NW,W00670,Registered"
"447297,3/30/2016 17:11,3/30/2016 17:19,31624,North Capitol St & F St NW,31639,2nd & G St NE,W01330,Registered"
"664553,3/30/2016 17:10,3/30/2016 17:21,31233,17th & K St NW / Farragut Square,31228,8th & H St NW,W20880,Registered"
"276949,3/30/2016 17:07,3/30/2016 17:11,31503,Florida Ave & R St NW,31281,8th & O St NW,W20751,Registered"
"1184502,3/30/2016 17:07,3/30/2016 17:27,31315,McKinley St & Connecticut Ave NW,31301,Ward Circle / American University,W00782,Registered"
"447809,3/30/2016 17:06,3/30/2016 17:14,31243,Maryland & Independence Ave SW,31623,Columbus Circle / Union Station,W00167,Registered"
"7507934,3/30/2016 17:06,3/30/2016 19:12,31232,7th & F St NW / National Portrait Gallery,31232,7th & F St NW / National Portrait Gallery,W22244,Casual"
"492370,3/30/2016 17:05,3/30/2016 17:13,31506,1st & Rhode Island Ave NW,31281,8th & O St NW,W21693,Registered"
"502413,3/30/2016 17:01,3/30/2016 17:10,31612,D St & Maryland Ave NE,31712,Oklahoma Ave & D St NE,W20663,Registered"
"454614,3/30/2016 16:55,3/30/2016 17:02,31628,1st & K St SE,31218,L'Enfant Plaza / 7th & C St SW,W20897,Registered"
"273921,3/30/2016 16:54,3/30/2016 16:58,31600,5th & K St NW,31281,8th & O St NW,W20922,Registered"
"1022167,3/30/2016 16:53,3/30/2016 17:10,31634,3rd & Tingey St SE,31627,M St & Delaware Ave NE,W21127,Registered"
"5960747,3/30/2016 16:53,3/30/2016 18:33,31243,Maryland & Independence Ave SW,31263,10th & K St NW,W20665,Casual"
"489663,3/30/2016 16:51,3/30/2016 16:59,31117,15th & Euclid St  NW,31109,7th & T St NW,W22057,Registered"
"757962,3/30/2016 16:46,3/30/2016 16:58,31634,3rd & Tingey St SE,31623,Columbus Circle / Union Station,W20269,Registered"
"560751,3/30/2016 16:40,3/30/2016 16:49,31252,21st St & Pennsylvania Ave NW,31201,15th & P St NW,W21441,Registered"
"727320,3/30/2016 16:39,3/30/2016 16:51,31103,16th & Harvard St NW,31602,Park Rd & Holmead Pl NW,W21674,Registered"
"313784,3/30/2016 16:35,3/30/2016 16:40,31610,Eastern Market / 7th & North Carolina Ave SE,31616,3rd & H St NE,W20574,Registered"
"2295975,3/30/2016 16:35,3/30/2016 17:14,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31243,Maryland & Independence Ave SW,W01001,Casual"
"815363,3/30/2016 16:32,3/30/2016 16:45,31049,Utah St & 11th St N ,31023,Fairfax Dr & Wilson Blvd,W21984,Registered"
"1464812,3/30/2016 16:31,3/30/2016 16:55,31271,Constitution Ave & 2nd St NW/DOL,31248,Smithsonian / Jefferson Dr & 12th St SW,W00460,Casual"
"693207,3/30/2016 16:21,3/30/2016 16:33,31200,Massachusetts Ave & Dupont Circle NW,31312,Wisconsin Ave & O St NW,W21735,Casual"
"284152,3/30/2016 16:20,3/30/2016 16:25,31214,17th & Corcoran St NW,31241,Thomas Circle,W00820,Registered"
"2001461,3/30/2016 16:17,3/30/2016 16:51,31231,14th & D St NW / Ronald Reagan Building,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20715,Casual"
"674807,3/30/2016 16:16,3/30/2016 16:28,31637,North Capitol St & G Pl NE,31238,14th & G St NW,W22206,Registered"
"1089685,3/30/2016 16:15,3/30/2016 16:33,31236,37th & O St NW / Georgetown University,31112,Harvard St & Adams Mill Rd NW,W20643,Registered"
"176798,3/30/2016 16:09,3/30/2016 16:12,32042,Shady Grove Hospital,32041,Medical Center Dr & Key West Ave,W00431,Registered"
"747277,3/30/2016 16:06,3/30/2016 16:19,31300,Van Ness Metro / UDC,31301,Ward Circle / American University,W01420,Registered"
"390824,3/30/2016 15:45,3/30/2016 15:51,31401,14th St & Spring Rd NW,31103,16th & Harvard St NW,W20419,Registered"
"1255986,3/30/2016 15:41,3/30/2016 16:01,31218,L'Enfant Plaza / 7th & C St SW,31623,Columbus Circle / Union Station,W21211,Registered"
"3126305,3/30/2016 15:27,3/30/2016 16:20,31236,37th & O St NW / Georgetown University,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W21661,Casual"
"348850,3/30/2016 15:23,3/30/2016 15:28,31221,18th & M St NW,31252,21st St & Pennsylvania Ave NW,W01094,Registered"
"1094413,3/30/2016 15:21,3/30/2016 15:39,31258,Lincoln Memorial,31277,17th & G St NW,W00195,Casual"
"3545013,3/30/2016 15:21,3/30/2016 16:20,32028,Norfolk & Rugby Ave,32028,Norfolk & Rugby Ave,W00518,Casual"
"406519,3/30/2016 15:08,3/30/2016 15:15,31117,15th & Euclid St  NW,31104,Adams Mill & Columbia Rd NW,W21188,Registered"
"1187243,3/30/2016 15:07,3/30/2016 15:27,31601,19th & East Capitol St SE,31628,1st & K St SE,W20095,Registered"
"237518,3/30/2016 15:04,3/30/2016 15:08,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31607,14th & D St SE,W00084,Registered"
"478108,3/30/2016 15:02,3/30/2016 15:10,31264,6th St & Indiana Ave NW,31243,Maryland & Independence Ave SW,W00692,Registered"
"2793214,3/30/2016 14:56,3/30/2016 15:43,31083,Potomac Greens Dr & Slaters Ln,31249,Jefferson Memorial,W22199,Registered"
"1623377,3/30/2016 14:48,3/30/2016 15:15,31248,Smithsonian / Jefferson Dr & 12th St SW,31247,Jefferson Dr & 14th St SW,W21021,Casual"
"503651,3/30/2016 14:40,3/30/2016 14:49,31212,21st & M St NW,31212,21st & M St NW,W20852,Registered"
"1420995,3/30/2016 14:32,3/30/2016 14:56,31708,Anacostia Ave & Benning Rd NE / River Terrace ,31101,14th & V St NW,W00054,Registered"
"3697392,3/30/2016 14:21,3/30/2016 15:23,31225,C & O Canal & Wisconsin Ave NW,31225,C & O Canal & Wisconsin Ave NW,W20457,Casual"
"1225043,3/30/2016 14:17,3/30/2016 14:37,31631,8th & F St NE,31242,18th St & Pennsylvania Ave NW,W20523,Registered"
"1620029,3/30/2016 14:14,3/30/2016 14:41,31219,10th St & Constitution Ave NW,31235,19th St & Constitution Ave NW,W20340,Casual"
"367504,3/30/2016 14:03,3/30/2016 14:09,31212,21st & M St NW,31233,17th & K St NW / Farragut Square,W21491,Registered"
"1790538,3/30/2016 13:56,3/30/2016 14:26,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31249,Jefferson Memorial,W20211,Casual"
"966569,3/30/2016 13:55,3/30/2016 14:11,31110,20th St & Florida Ave NW,31277,17th & G St NW,W21810,Casual"
"1679983,3/30/2016 13:54,3/30/2016 14:22,31243,Maryland & Independence Ave SW,31261,21st St & Constitution Ave NW,W21465,Casual"
"344176,3/30/2016 13:45,3/30/2016 13:51,31619,Lincoln Park / 13th & East Capitol St NE ,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W21783,Registered"
"2161592,3/30/2016 13:37,3/30/2016 14:13,32027,Battery Ln & Trolley Trail,32053,Medical Center Metro ,W00020,Registered"
"1332754,3/30/2016 13:21,3/30/2016 13:43,31254,15th & K St NW,31237,25th St & Pennsylvania Ave NW,W01164,Registered"
"1093553,3/30/2016 13:18,3/30/2016 13:36,31247,Jefferson Dr & 14th St SW,31251,12th & L St NW,W20742,Casual"
